FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
quadra.fid-26cf0271_1572a199e54_49d,77743,Quadras Esportivas nas Escolas - Arapiraca - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,ARAPIRACA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-36.661 -9.752)),0
quadra.fid-26cf0271_1572a199e54_49e,77744,Quadras Esportivas nas Escolas - Apucarana - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,APUCARANA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-51.461 -23.551)),0
quadra.fid-26cf0271_1572a199e54_49f,77745,Quadras Esportivas nas Escolas - Araucária - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,ARAUCÁRIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.41 -25.593)),0
quadra.fid-26cf0271_1572a199e54_4a0,77746,Quadras Esportivas nas Escolas - Cianorte - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CIANORTE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-52.605 -23.663)),0
quadra.fid-26cf0271_1572a199e54_4a1,77747,Quadras Esportivas nas Escolas - Cornélio Procópio - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CORNÉLIO PROCÓPIO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-50.647 -23.181)),0
quadra.fid-26cf0271_1572a199e54_4a2,77748,Quadras Esportivas nas Escolas - Nova Laranjeiras - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,NOVA LARANJEIRAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-52.541 -25.307)),0
quadra.fid-26cf0271_1572a199e54_4a3,77749,Quadras Esportivas nas Escolas - Castro - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CASTRO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-50.012 -24.791)),0
quadra.fid-26cf0271_1572a199e54_4a4,77750,Quadras Esportivas nas Escolas - Wenceslau Braz - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,WENCESLAU BRAZ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.803 -23.874)),0
quadra.fid-26cf0271_1572a199e54_4a5,77751,Quadras Esportivas nas Escolas - Cambé - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,CAMBÉ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-51.278 -23.276)),0
quadra.fid-26cf0271_1572a199e54_4a6,77752,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,MARABÁ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.118 -5.369)),0
quadra.fid-26cf0271_1572a199e54_4a7,77753,Quadras Esportivas nas Escolas - Moju - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,MOJU,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.769 -1.884)),0
quadra.fid-26cf0271_1572a199e54_4a8,77754,Quadras Esportivas nas Escolas - Uberlândia - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,UBERLÂNDIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-48.277 -18.919)),0
quadra.fid-26cf0271_1572a199e54_4a9,77755,Quadras Esportivas nas Escolas - Franco da Rocha - SP - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SP,FRANCO DA ROCHA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-46.727 -23.322)),0
quadra.fid-26cf0271_1572a199e54_4aa,77756,Quadras Esportivas nas Escolas - Capão do Leão - RS - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RS,CAPÃO DO LEÃO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.484 -31.763)),0
quadra.fid-26cf0271_1572a199e54_4ab,77757,Quadras Esportivas nas Escolas - Manaus - AM - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.025 -3.102)),0
quadra.fid-26cf0271_1572a199e54_4ac,77760,Quadras Esportivas nas Escolas - Itatuba - PB - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,ITATUBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.628 -7.375)),0
quadra.fid-26cf0271_1572a199e54_4ad,77761,Quadras Esportivas nas Escolas - Cerejeiras - RO - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,RO,CEREJEIRAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.812 -13.189)),0
quadra.fid-26cf0271_1572a199e54_4ae,77762,Quadras Esportivas nas Escolas - Valença - BA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,BA,VALENÇA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-39.073 -13.37)),0
quadra.fid-26cf0271_1572a199e54_4af,77764,Quadras Esportivas nas Escolas - Santa Maria do Suaçuí - MG - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,SANTA MARIA DO SUAÇUÍ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-42.414 -18.19)),0
quadra.fid-26cf0271_1572a199e54_4b0,77765,Quadras Esportivas nas Escolas - Pedro Osório - RS - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RS,PEDRO OSÓRIO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.823 -31.864)),0
quadra.fid-26cf0271_1572a199e54_4b1,77766,Quadras Esportivas nas Escolas - Santo Antônio da Patrulha - RS - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RS,SANTO ANTÔNIO DA PATRULHA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-50.52 -29.818)),0
quadra.fid-26cf0271_1572a199e54_4b2,77767,Quadras Esportivas nas Escolas - Conceição do Araguaia - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,CONCEIÇÃO DO ARAGUAIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.265 -8.258)),0
quadra.fid-26cf0271_1572a199e54_4b3,77768,Quadras Esportivas nas Escolas - Santa Bárbara do Pará - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,SANTA BÁRBARA DO PARÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-48.294 -1.224)),0
quadra.fid-26cf0271_1572a199e54_4b4,77769,Quadras Esportivas nas Escolas - Apuiarés - CE - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,CE,APUIARÉS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-39.432 -3.949)),0
quadra.fid-26cf0271_1572a199e54_4b5,77770,Quadras Esportivas nas Escolas - Caparaó - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CAPARAÓ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-41.907 -20.521)),0
quadra.fid-26cf0271_1572a199e54_4b6,77771,Quadras Esportivas nas Escolas - Congonhas - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CONGONHAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-43.858 -20.5)),0
quadra.fid-26cf0271_1572a199e54_4b7,77772,Quadras Esportivas nas Escolas - Congonhas - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CONGONHAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-43.858 -20.5)),0
quadra.fid-26cf0271_1572a199e54_4b8,77773,Quadras Esportivas nas Escolas - Cristália - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,CRISTÁLIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-42.862 -16.8)),0
quadra.fid-26cf0271_1572a199e54_4b9,77774,Quadras Esportivas nas Escolas - Formiga - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,FORMIGA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-45.426 -20.464)),0
quadra.fid-26cf0271_1572a199e54_4ba,77775,Quadras Esportivas nas Escolas - Paulistas - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,PAULISTAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-42.868 -18.427)),0
quadra.fid-26cf0271_1572a199e54_4bb,77776,Quadras Esportivas nas Escolas - Santana de Pirapama - MG - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MG,SANTANA DE PIRAPAMA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2015,MULTIPOINT ((-44.043 -19.006)),0
quadra.fid-26cf0271_1572a199e54_4bc,77777,Quadras Esportivas nas Escolas - Tejupá - SP - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SP,TEJUPÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.376 -23.343)),0
quadra.fid-26cf0271_1572a199e54_4bd,77778,Quadras Esportivas nas Escolas - Rio do Campo - SC - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SC,RIO DO CAMPO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-50.141 -26.949)),0
quadra.fid-26cf0271_1572a199e54_4be,77779,Quadras Esportivas nas Escolas - São João Batista - SC - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,SC,SÃO JOÃO BATISTA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.849 -27.276)),0
quadra.fid-26cf0271_1572a199e54_4bf,77780,Quadras Esportivas nas Escolas - São João da Paraúna - GO - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,GO,SÃO JOÃO DA PARAÚNA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-50.41 -16.815)),0
quadra.fid-26cf0271_1572a199e54_4c0,77781,Quadras Esportivas nas Escolas - Itumbiara - GO - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,GO,ITUMBIARA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.218 -18.42)),0
quadra.fid-26cf0271_1572a199e54_4c1,86089,Quadras Esportivas nas Escolas - Timon - MA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MA,TIMON,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-42.837 -5.094)),0
quadra.fid-26cf0271_1572a199e54_4c2,85496,Quadras Esportivas nas Escolas - Maceió - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,MACEIÓ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.735 -9.666)),0
quadra.fid-26cf0271_1572a199e54_4c3,85497,Quadras Esportivas nas Escolas - Maceió - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,MACEIÓ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.735 -9.666)),0
quadra.fid-26cf0271_1572a199e54_4c4,85498,Quadras Esportivas nas Escolas - Maceió - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,MACEIÓ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.735 -9.666)),0
quadra.fid-26cf0271_1572a199e54_4c5,85499,Quadras Esportivas nas Escolas - Maceió - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,MACEIÓ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.735 -9.666)),0
quadra.fid-26cf0271_1572a199e54_4c6,85500,Quadras Esportivas nas Escolas - Maceió - AL - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AL,MACEIÓ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.735 -9.666)),0
quadra.fid-26cf0271_1572a199e54_4c7,85501,Quadras Esportivas nas Escolas - Manaus - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.025 -3.102)),0
quadra.fid-26cf0271_1572a199e54_4c8,85502,Quadras Esportivas nas Escolas - Novo Aripuanã - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,NOVO ARIPUANÃ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.38 -5.121)),0
quadra.fid-26cf0271_1572a199e54_4c9,85503,Quadras Esportivas nas Escolas - Manaus - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-60.025 -3.102)),0
quadra.fid-26cf0271_1572a199e54_4ca,85512,Quadras Esportivas nas Escolas - Barreirinha - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,BARREIRINHA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-57.07 -2.793)),0
quadra.fid-26cf0271_1572a199e54_4cb,85517,Quadras Esportivas nas Escolas - Fonte Boa - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,FONTE BOA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-66.092 -2.514)),0
quadra.fid-26cf0271_1572a199e54_4cc,85519,Quadras Esportivas nas Escolas - Fonte Boa - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,FONTE BOA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-66.092 -2.514)),0
quadra.fid-26cf0271_1572a199e54_4cd,85534,Quadras Esportivas nas Escolas - Parintins - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,PARINTINS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-56.736 -2.628)),0
quadra.fid-26cf0271_1572a199e54_4ce,85535,Quadras Esportivas nas Escolas - Parintins - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,PARINTINS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-56.736 -2.628)),0
quadra.fid-26cf0271_1572a199e54_4cf,85536,Quadras Esportivas nas Escolas - Parintins - AM - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,AM,PARINTINS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-56.736 -2.628)),0
quadra.fid-26cf0271_1572a199e54_4d0,85552,Quadras Esportivas nas Escolas - Arari - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,ARARI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.78 -3.454)),0
quadra.fid-26cf0271_1572a199e54_4d1,85553,Quadras Esportivas nas Escolas - São Luís - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.303 -2.53)),0
quadra.fid-26cf0271_1572a199e54_4d2,85554,Quadras Esportivas nas Escolas - São Luís - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.303 -2.53)),0
quadra.fid-26cf0271_1572a199e54_4d3,85555,Quadras Esportivas nas Escolas - São Luís - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.303 -2.53)),0
quadra.fid-26cf0271_1572a199e54_4d4,85557,Quadras Esportivas nas Escolas - São Luís - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.303 -2.53)),0
quadra.fid-26cf0271_1572a199e54_4d5,85559,Quadras Esportivas nas Escolas - São Luís - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.303 -2.53)),0
quadra.fid-26cf0271_1572a199e54_4d6,85560,Quadras Esportivas nas Escolas - São Luís - MA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-44.303 -2.53)),0
quadra.fid-26cf0271_1572a199e54_4d7,85565,Quadras Esportivas nas Escolas - João Pessoa - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,JOÃO PESSOA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-34.863 -7.115)),0
quadra.fid-26cf0271_1572a199e54_4d8,85566,Quadras Esportivas nas Escolas - Rio Tinto - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,RIO TINTO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.081 -6.803)),0
quadra.fid-26cf0271_1572a199e54_4d9,85567,Quadras Esportivas nas Escolas - Cajazeiras - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,CAJAZEIRAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-38.562 -6.89)),0
quadra.fid-26cf0271_1572a199e54_4da,85568,Quadras Esportivas nas Escolas - Sousa - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,SOUSA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-38.231 -6.761)),0
quadra.fid-26cf0271_1572a199e54_4db,85569,Quadras Esportivas nas Escolas - Sousa - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,SOUSA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-38.231 -6.761)),0
quadra.fid-26cf0271_1572a199e54_4dc,85570,Quadras Esportivas nas Escolas - Sousa - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,SOUSA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-38.231 -6.761)),0
quadra.fid-26cf0271_1572a199e54_4dd,85571,Quadras Esportivas nas Escolas - Serra Branca - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,SERRA BRANCA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-36.665 -7.483)),0
quadra.fid-26cf0271_1572a199e54_4de,85572,Quadras Esportivas nas Escolas - Campina Grande - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,CAMPINA GRANDE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.881 -7.231)),0
quadra.fid-26cf0271_1572a199e54_4df,85573,Quadras Esportivas nas Escolas - Campina Grande - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,CAMPINA GRANDE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.881 -7.231)),0
quadra.fid-26cf0271_1572a199e54_4e0,85574,Quadras Esportivas nas Escolas - Lagoa Seca - PB - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PB,LAGOA SECA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-35.854 -7.171)),0
quadra.fid-26cf0271_1572a199e54_4e1,85575,Quadras Esportivas nas Escolas - Araucária - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,ARAUCÁRIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.41 -25.593)),0
quadra.fid-26cf0271_1572a199e54_4e2,85576,Quadras Esportivas nas Escolas - Araucária - PR - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PR,ARAUCÁRIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,MULTIPOINT ((-49.41 -25.593)),0
quadra.fid-26cf0271_1572a199e54_4e3,85580,Quadras Esportivas nas Escolas - Altamira - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,ALTAMIRA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2015,MULTIPOINT ((-52.206 -3.203)),0
quadra.fid-26cf0271_1572a199e54_4e4,85581,Quadras Esportivas nas Escolas - Canaã dos Carajás - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PA,CANAÃ DOS CARAJÁS,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-49.878 -6.497)),0
